Date : 2024-01-26 17:41:18
Directory : /Users/louislebras/Dropbox/STAMINA/www/donzellissr
Total : 264 files,  35258 codes, 845 comments, 4183 blanks, all 40286 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         49 |     28,418 |        551 |      3,140 |     32,109 |
| SCSS       |         53 |      5,318 |        194 |        791 |      6,303 |
| XML        |         88 |        792 |          0 |         88 |        880 |
| JavaScript |         27 |        686 |         98 |        154 |        938 |
| CSS        |         46 |         37 |          2 |          9 |         48 |
| JSON       |          1 |          7 |          0 |          1 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        264 |     35,258 |        845 |      4,183 |     40,286 |
| . (Files)                                                                                                                            |          1 |          7 |          0 |          1 |          8 |
| css                                                                                                                                  |          5 |          2 |          1 |          3 |          6 |
| css (Files)                                                                                                                          |          2 |          1 |          1 |          1 |          3 |
| css/filters-system                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| css/offers-page-studiopro                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| css/products-style                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| dist                                                                                                                                 |         91 |     25,200 |        523 |      2,758 |     28,481 |
| dist (Files)                                                                                                                         |          2 |      1,938 |         38 |        219 |      2,195 |
| dist/about                                                                                                                           |          2 |      1,494 |         31 |        157 |      1,682 |
| dist/blog                                                                                                                            |          4 |      2,951 |         62 |        314 |      3,327 |
| dist/blog (Files)                                                                                                                    |          2 |      1,475 |         31 |        157 |      1,663 |
| dist/blog/article-test                                                                                                               |          2 |      1,476 |         31 |        157 |      1,664 |
| dist/contact                                                                                                                         |          2 |      1,605 |         32 |        170 |      1,807 |
| dist/css                                                                                                                             |          5 |          2 |          1 |          3 |          6 |
| dist/css (Files)                                                                                                                     |          2 |          1 |          1 |          1 |          3 |
| dist/css/filters-system                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| dist/css/offers-page-studiopro                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| dist/css/products-style                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| dist/feed                                                                                                                            |          2 |      1,688 |         31 |        195 |      1,914 |
| dist/js                                                                                                                              |         12 |        246 |         30 |         53 |        329 |
| dist/js (Files)                                                                                                                      |         10 |        244 |         28 |         53 |        325 |
| dist/js/js-build                                                                                                                     |          2 |          2 |          2 |          0 |          4 |
| dist/press                                                                                                                           |          2 |      1,597 |         31 |        168 |      1,796 |
| dist/products                                                                                                                        |         12 |      9,533 |        194 |      1,037 |     10,764 |
| dist/products (Files)                                                                                                                |          2 |      1,543 |         31 |        158 |      1,732 |
| dist/products/flos                                                                                                                   |          6 |      4,501 |         93 |        478 |      5,072 |
| dist/products/flos (Files)                                                                                                           |          2 |      1,475 |         31 |        156 |      1,662 |
| dist/products/flos/arco-lamp                                                                                                         |          2 |      1,474 |         31 |        156 |      1,661 |
| dist/products/flos/taccia-lamp                                                                                                       |          2 |      1,552 |         31 |        166 |      1,749 |
| dist/products/ligneroset                                                                                                             |          4 |      3,489 |         70 |        401 |      3,960 |
| dist/products/ligneroset (Files)                                                                                                     |          2 |      1,475 |         31 |        156 |      1,662 |
| dist/products/ligneroset/togo-sofa                                                                                                   |          2 |      2,014 |         39 |        245 |      2,298 |
| dist/public                                                                                                                          |         44 |        396 |          0 |         44 |        440 |
| dist/public/media                                                                                                                    |         44 |        396 |          0 |         44 |        440 |
| dist/public/media (Files)                                                                                                            |          5 |         72 |          0 |          5 |         77 |
| dist/public/media/brands-home-swiper                                                                                                 |         14 |         88 |          0 |         14 |        102 |
| dist/public/media/svg-assets                                                                                                         |         25 |        236 |          0 |         25 |        261 |
| dist/studiopro                                                                                                                       |          4 |      3,750 |         73 |        398 |      4,221 |
| dist/studiopro (Files)                                                                                                               |          2 |      2,012 |         42 |        222 |      2,276 |
| dist/studiopro/growth-services                                                                                                       |          2 |      1,738 |         31 |        176 |      1,945 |
| js                                                                                                                                   |         12 |        246 |         30 |         53 |        329 |
| js (Files)                                                                                                                           |         10 |        244 |         28 |         53 |        325 |
| js/js-build                                                                                                                          |          2 |          2 |          2 |          0 |          4 |
| layout                                                                                                                               |         29 |      2,938 |         76 |        345 |      3,359 |
| layout/footer                                                                                                                        |          3 |        172 |          3 |         19 |        194 |
| layout/header-desk                                                                                                                   |          5 |      1,144 |         34 |        133 |      1,311 |
| layout/header-mobile                                                                                                                 |          3 |        145 |          1 |         24 |        170 |
| layout/loader                                                                                                                        |          3 |         87 |          6 |         15 |        108 |
| layout/noise                                                                                                                         |          3 |         85 |          0 |          8 |         93 |
| layout/product-table                                                                                                                 |          3 |        131 |          1 |         11 |        143 |
| layout/sidebar-desk                                                                                                                  |          3 |        133 |          4 |         17 |        154 |
| layout/sidebar-mobile                                                                                                                |          3 |        991 |         25 |        112 |      1,128 |
| layout/whatsappbutton                                                                                                                |          3 |         50 |          2 |          6 |         58 |
| pages                                                                                                                                |         55 |      3,969 |         98 |        551 |      4,618 |
| pages/about                                                                                                                          |          4 |         31 |          1 |          3 |         35 |
| pages/blog                                                                                                                           |          8 |         13 |          0 |          6 |         19 |
| pages/blog (Files)                                                                                                                   |          4 |          6 |          0 |          3 |          9 |
| pages/blog/article-test                                                                                                              |          4 |          7 |          0 |          3 |         10 |
| pages/contact                                                                                                                        |          5 |        314 |          3 |         39 |        356 |
| pages/feed                                                                                                                           |          4 |        225 |          1 |         50 |        276 |
| pages/index                                                                                                                          |         10 |      1,133 |         31 |        144 |      1,308 |
| pages/press                                                                                                                          |          3 |        250 |          3 |         30 |        283 |
| pages/products                                                                                                                       |         13 |        620 |          8 |        110 |        738 |
| pages/products (Files)                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| pages/products/flos                                                                                                                  |          8 |         79 |          0 |         17 |         96 |
| pages/products/flos/arco-lamp                                                                                                        |          4 |          0 |          0 |          4 |          4 |
| pages/products/flos/taccia-lamp                                                                                                      |          4 |         79 |          0 |         13 |         92 |
| pages/products/ligneroset                                                                                                            |          4 |        541 |          8 |         92 |        641 |
| pages/products/ligneroset/togo-sofa                                                                                                  |          4 |        541 |          8 |         92 |        641 |
| pages/studiopro                                                                                                                      |          8 |      1,383 |         51 |        169 |      1,603 |
| pages/studiopro (Files)                                                                                                              |          4 |      1,115 |         51 |        147 |      1,313 |
| pages/studiopro/growth-services                                                                                                      |          4 |        268 |          0 |         22 |        290 |
| public                                                                                                                               |         44 |        396 |          0 |         44 |        440 |
| public/media                                                                                                                         |         44 |        396 |          0 |         44 |        440 |
| public/media (Files)                                                                                                                 |          5 |         72 |          0 |          5 |         77 |
| public/media/brands-home-swiper                                                                                                      |         14 |         88 |          0 |         14 |        102 |
| public/media/svg-assets                                                                                                              |         25 |        236 |          0 |         25 |        261 |
| scss                                                                                                                                 |         23 |      2,270 |         79 |        373 |      2,722 |
| scss (Files)                                                                                                                         |          7 |      1,040 |         40 |        166 |      1,246 |
| scss/common-assets                                                                                                                   |          1 |         78 |          1 |         15 |         94 |
| scss/filters-system                                                                                                                  |          2 |         79 |          5 |         14 |         98 |
| scss/offers-page-studiopro                                                                                                           |          4 |         73 |          2 |         16 |         91 |
| scss/products-style                                                                                                                  |          9 |      1,000 |         31 |        162 |      1,193 |
| server                                                                                                                               |          3 |        162 |         16 |         34 |        212 |
| utils                                                                                                                                |          1 |         68 |         22 |         21 |        111 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/css/black.css                                                                     | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/css/filters-system/main-filters.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/css/main.css                                                                      | CSS        |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/css/offers-page-studiopro/main-offers-page.css                                    | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/css/products-style/main-product.css                                               | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/_components-styles.css                                                       | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/about/_components-styles.css                                                 | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/about/index.html                                                             | HTML       |      1,493 |         31 |        157 |      1,681 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/blog/_components-styles.css                                                  | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/blog/article-test/_components-styles.css                                     | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/blog/article-test/index.html                                                 | HTML       |      1,475 |         31 |        157 |      1,663 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/blog/index.html                                                              | HTML       |      1,474 |         31 |        157 |      1,662 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/contact/_components-styles.css                                               | CSS        |          1 |          0 |          0 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/contact/index.html                                                           | HTML       |      1,604 |         32 |        170 |      1,806 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/css/black.css                                                                | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/css/filters-system/main-filters.css                                          | CSS        |          0 |          0 |          1 |          1 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/css/main.css                                                                 | CSS        |          1 |          1 |          0 |          2 |
| /Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/css/offers-page-studiopro/main-offers-page.css                               | CSS        |          0 |          0 |          1 |          1 |
